id;en;ru

LBL_CREATE;CREATE:;СОЗДАТЬ:
LBL_LOAD;LOAD:;ЗАГРУЗИТЬ:
LBL_JOIN;JOIN:;ВОЙТИ:
LBL_WORLD_NAME;World NAME;НАЗВАНИЕ Мира
LBL_WORLD_SIZE;World size\n(impacts performance);Размер Мира\n(влияет на производительность)
LBL_WORLD_GENERATION_KEY;World Generation Key;Ключ Генерации Мира
PLC_SKIP_FOR_RAND;Skip for randomness;Оставьте на волю случая
BTN_CREATE;CREATE;СОЗДАТЬ
BTN_LOAD;LOAD;ЗАГРУЗИТЬ
BTN_DEL;DEL;УДЛ
BTN_JOIN;JOIN;ВОЙТИ
PLC_IP;ENTER IP;ВВЕДИТЕ АДРЕС IP
LBL_PLR_NAME;[PLAYER NAME]:;[ИМЯ ИГРОКА]:
LBL_CONTROLS;CONTROLS:;УПРАВЛЕНИЕ:
LBL_H1;WASD - MOVING;WASD - ДВИЖЕНИЕ
LBL_H2;Q - DROP ITEM;Q - ВЫКИНУТЬ ПРЕДМЕТ
LBL_H3;F - PICKUP ITEM;F - ПОДОБРАТЬ ПРЕДМЕТ
LBL_H4;C - CRAFT;C - КРАФТ
LBL_H5;ESC - MENU;ESC - МЕНЮ
LBL_H6;LMB - ATTACK;ЛКМ - АТКАК
LBL_H7;RMB - INTERACT;ПКМ - ВЗАИМОДЕЙСТВИЕ
LBL_H8;B - OPEN BOOK;B - ОТКРЫТЬ ДНЕВНИК
LBL_H9;SHIFT - RUN;SHIFT - БЕГ
LBL_H10;F1 - HIDE UI;F1 - Скрыть UI
LBL_H11;F3 - DEBUG INFO;F3 - ОТЛАДКА
TGL_HOST;HOST;ХОСТ
TGL_FULSCRN;Fullscreen;Во весь экран
TGL_LANG_SWITCH;"[EN]/ru";"en/[RU]"
TGL_AUTOSAVE;Autosave;Автосохранение
BTN_LEAVE_GAME;LEAVE GAME...;ПОКИНУТЬ ИГРУ...

LBL_CONTINUE;CONTINUE;ПРОДОЛЖИТЬ
LBL_SAVE_WORLD;SAVE WORLD;СОХРАНИТЬ МИР
LBL_EXIT_WITHOUT_SAVE;EXIT WITHOUT SAVE;выйти БЕЗ СОХРАНЕНИЯ
